road_type,speed_limit,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,carriageway_hazards,urban_or_rural_area,trunk_road_flag,accident_severity
6,50,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,1,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,6,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,50,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
3,70,0,0,1,1,1,0,2,1,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,4,8,2,0,1,2,1
6,30,0,0,1,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,6,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,6,2,2,0,2,2,1
6,60,0,0,1,1,1,2,2,2,1
6,60,0,0,1,1,2,0,2,2,1
9,50,0,0,6,1,1,0,2,2,1
6,60,0,0,6,4,1,0,2,2,1
6,60,0,0,6,1,1,0,2,2,1
6,60,0,0,6,1,2,0,2,2,1
6,60,0,0,6,1,1,0,2,2,1
6,50,0,0,6,1,2,0,2,2,1
6,60,0,0,6,1,1,0,2,2,1
6,30,0,0,4,1,2,0,1,2,1
6,50,0,0,6,7,2,0,2,2,1
6,30,0,0,1,1,2,0,2,2,1
3,70,0,0,6,2,2,0,2,1,1
6,30,0,5,4,1,1,0,2,2,1
3,70,0,0,1,2,2,0,2,1,1
6,30,0,4,1,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,6,1,2,0,2,2,1
6,40,0,0,1,1,1,0,2,2,1
6,40,0,0,4,1,1,0,1,2,1
6,30,0,0,4,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,1,8,1,0,2,2,1
6,50,0,0,1,1,1,0,2,2,1
6,50,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,1,0,1,2,1
3,70,0,0,6,2,2,0,2,1,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,7,2,2,0,2,2,1
6,60,0,0,6,1,1,0,2,2,1
6,60,0,0,1,1,2,0,2,2,1
3,30,0,4,4,1,1,0,1,2,1
6,60,0,0,6,1,1,0,2,2,1
6,60,0,0,6,1,1,0,2,2,1
3,70,0,0,1,1,1,0,2,1,1
6,30,0,0,1,1,2,0,1,2,1
1,40,0,0,4,8,2,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,4,2,2,0,2,2,1
3,70,0,0,1,1,1,0,2,2,1
6,40,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,4,2,2,0,1,2,1
3,70,0,0,6,1,1,0,2,1,1
6,60,0,0,6,1,2,0,2,2,1
3,60,0,0,1,1,2,0,2,2,1
6,60,0,0,1,2,2,2,2,2,1
6,30,0,4,4,1,2,0,1,2,1
6,30,0,0,4,1,2,0,2,2,1
3,30,0,5,1,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,1,8,2,0,2,2,1
6,40,0,0,1,1,1,0,1,2,1
3,50,0,0,1,9,1,0,1,2,1
6,60,0,0,6,1,2,0,2,1,1
6,60,0,0,1,1,1,0,2,2,1
3,70,0,0,6,1,1,0,2,1,1
6,60,0,0,1,1,1,0,2,1,1
6,30,0,4,4,2,2,0,1,2,1
3,30,0,0,1,2,2,0,1,2,1
6,30,0,5,4,2,2,0,1,2,1
3,70,0,0,6,1,2,0,2,1,1
6,60,0,0,1,2,2,0,2,1,1
3,70,0,0,6,1,2,0,2,1,1
6,60,0,0,6,1,2,0,2,2,1
6,60,0,0,6,1,2,0,2,2,1
3,50,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,2,0,2,2,1
6,50,0,0,6,2,2,0,2,2,1
6,30,0,4,4,5,2,0,1,2,1
3,70,0,0,6,1,1,1,2,1,1
6,30,0,0,1,1,1,0,1,2,1
3,70,0,0,1,1,1,0,2,1,1
6,50,0,0,7,1,1,0,2,2,1
6,60,0,0,6,1,1,0,2,1,1
6,60,0,0,1,1,1,0,2,2,1
6,50,0,0,1,1,1,0,2,2,1
6,30,0,0,1,8,2,0,1,2,1
6,30,0,8,1,1,1,0,1,2,1
3,70,0,0,4,1,1,0,2,1,1
6,30,0,0,1,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,6,7,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,4,1,-1,0,1,2,1
7,70,0,0,1,1,1,0,2,1,1
6,60,0,0,6,1,1,0,2,2,1
1,30,0,4,1,1,1,0,1,2,1
6,60,0,0,6,1,1,0,2,2,1
6,60,0,0,6,1,1,7,2,2,1
6,40,0,0,1,2,2,0,2,2,1
6,30,0,0,4,1,1,0,2,2,1
3,70,0,0,1,1,1,0,2,1,1
6,60,0,0,6,1,1,0,2,2,1
3,70,0,0,6,1,1,0,2,1,1
1,30,0,8,4,5,2,0,1,2,1
6,60,0,0,6,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,6,1,1,0,2,2,1
6,50,0,0,1,1,2,0,2,2,1
6,30,0,0,4,1,1,0,1,2,1
6,60,0,0,6,1,1,0,2,2,1
6,60,0,0,1,1,4,0,2,2,1
6,60,0,0,1,2,2,0,2,2,1
1,40,0,0,1,1,1,0,2,2,1
6,30,0,0,7,1,2,0,2,2,1
6,30,0,0,4,7,2,0,1,2,1
6,50,0,0,6,1,2,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,50,0,0,7,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
3,70,0,0,5,1,1,0,2,1,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,4,2,2,0,2,2,1
6,60,0,0,6,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
3,70,0,0,6,2,2,0,1,1,1
6,60,0,0,6,1,2,0,2,2,1
6,60,0,0,6,1,1,0,2,2,1
6,60,0,0,1,8,2,0,2,2,1
6,60,0,0,6,1,2,0,2,2,1
6,60,0,0,6,1,2,0,2,2,1
6,60,0,0,1,1,1,0,2,1,1
6,60,0,0,1,2,2,0,2,2,1
3,70,0,0,1,1,1,0,2,1,1
6,50,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
3,70,0,0,7,1,1,0,2,1,1
6,30,0,0,1,1,1,0,2,2,1
3,50,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,4,5,2,0,2,2,1
3,70,0,0,6,1,1,6,2,1,1
6,60,0,0,1,1,2,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
3,70,0,0,1,1,1,0,2,1,1
6,40,0,0,1,1,1,0,2,2,1
6,60,0,0,5,1,1,0,2,2,1
6,60,0,0,6,1,1,0,2,2,1
6,50,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,1,0,1,2,1
3,70,0,0,6,1,1,0,2,1,1
6,60,0,0,5,7,2,0,2,2,1
3,70,0,0,1,2,2,2,2,1,1
3,70,0,0,5,1,1,0,2,1,1
6,30,0,0,6,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
3,70,0,0,1,1,1,0,2,1,1
6,60,0,0,1,1,1,0,2,2,1
6,40,0,0,1,2,2,0,2,2,1
6,60,0,0,1,1,1,0,2,1,1
1,60,0,0,4,1,1,0,2,1,1
3,70,0,0,1,1,1,0,2,1,1
6,60,0,0,1,9,1,0,2,2,1
6,60,0,0,6,1,1,0,2,2,1
6,60,0,0,6,8,2,0,2,2,1
7,70,0,0,6,5,2,0,1,1,1
6,60,0,0,1,1,2,0,2,2,1
6,60,0,0,6,1,1,0,2,2,1
3,70,0,0,6,1,2,0,2,2,1
6,40,0,0,4,1,1,0,1,2,1
6,30,0,0,1,1,2,0,1,2,1
6,40,0,0,4,1,2,0,1,2,1
3,70,0,0,1,1,1,2,2,2,1
6,60,0,0,7,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,40,0,0,1,1,2,0,2,2,1
6,60,0,0,1,1,1,0,1,2,1
3,60,0,0,6,1,2,0,2,2,1
6,40,0,0,1,1,1,0,2,2,1
6,30,0,1,4,1,1,0,1,2,1
6,60,0,0,6,1,1,0,2,2,1
6,30,0,4,1,1,1,0,1,2,1
3,70,0,0,4,1,2,0,2,1,1
6,60,0,8,7,1,1,0,2,2,1
6,30,0,0,5,1,1,0,1,2,1
6,60,0,0,6,2,2,0,2,2,1
3,70,0,0,6,2,2,0,2,1,1
6,60,0,0,1,1,2,0,2,2,1
6,30,0,0,1,1,1,0,1,2,1
6,30,0,1,4,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,40,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,1,0,1,2,1
6,30,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,1,7,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,40,0,0,1,1,1,0,2,2,1
6,40,0,0,1,1,1,0,1,2,1
6,30,0,4,4,1,1,0,1,2,1
6,40,0,0,1,1,1,0,1,2,1
3,70,0,0,1,1,2,0,2,1,1
1,70,0,0,6,1,1,0,2,1,1
3,70,0,0,6,1,1,0,2,1,1
6,50,0,0,1,1,1,0,2,2,1
3,70,0,0,1,1,1,0,2,1,1
6,30,0,0,4,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,6,1,1,0,2,2,1
6,40,0,0,1,1,1,0,2,2,1
6,40,0,0,6,1,1,0,2,2,1
3,50,0,0,4,1,1,0,2,1,1
6,30,0,0,4,1,2,0,1,2,1
3,40,2,4,4,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,8,1,1,1,0,1,2,1
6,40,0,0,1,1,1,0,2,2,1
6,30,0,0,6,1,1,0,2,2,1
3,70,0,0,1,1,1,0,2,1,1
6,30,0,0,1,1,1,0,1,2,1
6,30,0,0,5,1,1,0,1,2,1
6,60,0,0,6,1,2,0,2,1,1
6,60,0,0,6,2,2,0,2,2,1
6,60,0,0,1,1,2,2,2,2,1
6,40,0,0,4,1,1,0,2,2,1
3,60,0,0,6,1,1,0,2,1,1
6,50,0,0,1,1,2,0,2,2,1
6,50,0,0,1,1,2,0,2,2,1
3,70,0,0,6,1,1,0,2,1,1
3,70,0,0,1,1,1,0,2,1,1
3,60,0,0,1,1,1,0,2,1,1
6,40,0,0,1,1,1,0,2,2,1
3,30,0,0,4,1,1,0,1,2,1
3,50,0,0,1,1,1,0,2,2,1
6,40,0,4,1,1,1,0,2,2,1
6,50,0,0,1,1,1,0,2,2,1
3,70,0,0,1,1,1,2,2,1,1
6,30,0,0,1,1,1,0,1,2,1
3,70,0,0,6,1,1,0,2,1,1
6,30,0,0,4,5,2,0,1,2,1
3,70,0,0,1,1,1,0,2,1,1
3,70,0,0,1,1,1,0,2,1,1
3,70,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,2,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,8,1,1,1,0,1,2,1
6,20,0,0,1,1,1,0,1,2,1
6,50,0,0,1,1,1,0,1,2,1
6,60,0,0,6,7,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
7,50,0,0,1,1,1,0,2,2,1
6,50,0,0,1,1,1,0,2,2,1
6,50,0,8,1,1,1,0,2,2,1
3,30,0,0,4,1,1,0,1,2,1
6,30,0,4,1,1,1,0,1,2,1
6,50,0,0,6,2,2,0,2,2,1
3,70,0,0,7,1,1,0,2,1,1
3,70,0,0,1,1,1,0,2,2,1
6,40,0,0,4,1,1,0,2,2,1
6,40,0,0,1,1,1,0,2,2,1
3,70,0,0,1,1,1,2,2,1,1
3,70,0,0,1,1,1,0,1,2,1
6,30,0,5,4,1,1,0,1,2,1
6,60,0,0,6,1,1,0,2,2,1
6,30,0,0,1,1,1,0,1,2,1
6,50,0,0,1,1,2,0,2,2,1
6,60,0,0,4,2,2,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,50,0,0,6,1,1,0,2,2,1
3,70,0,0,1,1,1,0,2,1,1
6,60,0,0,6,1,1,0,2,2,1
6,60,0,0,1,1,2,0,2,2,1
6,60,0,0,1,1,2,0,2,2,1
6,30,0,0,4,1,2,0,1,2,1
1,60,0,0,4,1,2,0,2,2,1
6,30,0,0,1,1,2,0,2,2,1
6,50,0,0,1,1,2,0,1,2,1
6,60,0,0,6,2,2,0,2,2,1
6,30,0,5,4,2,2,0,1,2,1
6,60,0,0,6,1,2,0,2,2,1
6,40,0,0,6,2,2,0,2,2,1
3,70,0,0,1,1,2,0,2,1,1
3,70,0,0,7,2,2,0,2,1,1
6,60,0,0,6,1,2,0,2,2,1
6,60,0,0,6,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,40,0,0,1,2,2,0,2,2,1
6,30,0,0,1,1,1,0,2,2,1
3,70,0,0,1,5,2,0,2,1,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,1,0,1,2,1
6,50,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
3,70,0,0,1,2,2,0,2,1,1
6,30,0,0,1,2,2,0,1,2,1
3,70,0,0,1,1,1,0,1,1,1
6,60,0,0,1,1,1,0,2,2,1
6,40,0,0,4,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,4,1,1,0,1,2,1
6,30,0,0,4,2,2,0,1,2,1
6,30,0,4,4,1,1,0,1,2,1
6,30,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
3,70,0,0,1,1,1,0,2,1,1
6,20,0,0,1,5,2,0,1,2,1
6,40,0,0,4,1,1,0,2,2,1
6,60,0,0,6,1,1,0,2,2,1
6,30,0,1,1,2,2,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,50,0,0,6,1,1,0,2,2,1
6,50,0,0,6,5,2,0,2,2,1
6,30,0,0,4,1,1,0,1,2,1
6,30,0,1,1,1,1,0,2,2,1
6,60,0,0,6,1,1,0,2,2,1
6,30,0,4,1,1,1,0,1,2,1
3,70,0,0,6,2,2,0,2,1,1
3,70,0,0,6,7,2,0,2,1,1
3,70,0,0,6,2,2,3,2,1,1
6,60,0,0,6,1,2,0,2,2,1
6,40,0,8,1,2,2,0,2,2,1
6,30,0,0,4,1,2,0,2,2,1
3,70,0,0,6,1,1,0,2,1,1
6,40,0,8,1,1,1,0,1,2,1
6,30,0,0,1,1,1,0,1,2,1
3,70,0,8,1,1,1,0,2,2,1
6,40,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
3,70,0,0,1,1,1,0,2,1,1
6,30,0,0,1,1,1,0,2,2,1
6,30,2,5,4,1,1,0,1,2,1
6,40,0,0,4,1,1,0,2,2,1
6,30,0,0,1,1,2,0,1,2,1
6,40,0,0,1,2,2,0,1,2,1
6,30,0,0,1,1,1,0,1,2,1
3,40,0,4,1,1,1,0,1,2,1
6,40,0,0,1,1,1,0,2,2,1
6,30,0,0,4,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
3,70,0,1,4,1,1,2,2,2,1
3,40,0,0,4,1,1,0,1,2,1
6,30,0,0,1,1,1,0,1,2,1
6,30,0,0,1,1,2,0,2,2,1
6,30,0,4,4,2,2,0,1,2,1
6,40,0,0,4,1,4,0,2,2,1
6,40,0,8,4,1,1,0,2,2,1
3,70,0,0,1,2,2,0,2,1,1
6,60,0,0,1,1,1,0,2,2,1
3,70,0,0,6,7,2,0,2,1,1
3,70,0,0,1,5,2,0,2,1,1
6,30,0,0,1,1,1,0,1,2,1
1,40,0,0,4,1,1,0,2,2,1
6,30,0,0,4,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,40,0,0,1,1,1,0,2,2,1
3,70,0,0,1,2,2,0,2,1,1
3,40,0,0,6,2,2,0,2,2,1
6,30,0,0,4,1,1,0,1,2,1
6,30,0,0,1,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,8,1,1,1,0,1,2,1
6,50,0,0,4,1,1,0,2,2,1
3,40,0,0,1,1,1,0,2,2,1
7,70,0,0,1,1,1,0,2,1,1
6,40,0,0,1,1,1,0,2,2,1
3,60,0,0,1,1,1,0,2,1,1
6,30,0,4,1,1,1,0,1,2,1
6,30,0,0,4,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
3,70,0,0,1,1,1,0,2,2,1
6,30,0,1,1,1,1,0,1,2,1
6,40,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,1,0,1,2,1
6,50,0,0,1,1,1,0,2,2,1
6,20,0,0,1,1,1,0,1,2,1
3,70,0,0,6,2,2,0,2,1,1
3,70,0,0,1,1,1,0,2,2,1
6,30,0,0,4,1,1,0,1,2,1
6,60,0,0,6,1,1,0,2,2,1
6,40,0,0,1,1,2,0,2,2,1
6,50,0,0,4,1,2,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,1,0,1,2,1
6,30,0,0,4,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,1,1
3,70,0,0,5,1,1,2,2,1,1
6,60,0,0,1,1,1,0,2,2,1
6,40,0,0,1,1,1,0,2,2,1
3,70,0,0,1,1,1,0,2,1,1
6,30,0,0,4,5,2,0,1,2,1
6,30,0,0,1,1,1,0,1,2,1
6,30,2,0,1,1,2,0,1,2,1
6,40,0,0,6,7,2,0,2,2,1
6,60,0,0,6,1,2,0,1,2,1
6,30,0,0,7,1,1,0,1,2,1
6,60,0,0,1,1,2,0,2,2,1
6,40,0,0,1,1,2,0,2,2,1
3,70,0,0,6,1,1,0,2,1,1
6,40,0,0,4,1,1,0,1,2,1
6,60,0,0,6,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,1,0,1,2,1
6,50,0,0,1,1,1,0,2,1,1
3,70,0,0,6,1,1,0,2,1,1
6,50,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,1,0,1,2,1
3,30,0,0,4,1,1,0,1,2,1
6,60,0,0,6,1,1,0,2,2,1
6,30,0,0,1,1,1,2,2,2,1
3,40,0,5,1,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,2,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,1,1
6,50,0,0,6,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
3,30,0,0,1,1,1,0,2,2,1
6,60,0,0,1,4,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,2,1,1,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,1,0,1,2,1
6,50,0,0,6,2,2,0,2,2,1
6,40,0,5,4,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,4,1,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,50,0,0,1,2,2,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,40,0,0,1,1,2,0,2,2,1
6,30,0,0,1,1,1,0,1,2,1
3,70,0,0,6,5,5,0,1,1,1
6,30,0,0,7,5,2,0,1,2,1
3,60,0,0,1,1,1,0,2,1,1
6,40,0,0,6,1,1,0,2,2,1
6,50,0,0,6,1,1,0,2,2,1
7,70,0,0,6,1,1,0,2,1,1
6,30,0,0,6,1,1,0,1,2,1
6,50,0,0,6,1,1,0,2,2,1
6,20,0,5,4,1,1,0,1,2,1
6,60,0,0,6,2,2,0,2,2,1
3,70,0,0,1,1,1,0,2,1,1
6,30,0,0,1,1,1,0,1,2,1
6,60,0,0,6,1,1,0,2,2,1
6,50,0,0,1,1,1,0,2,1,1
6,30,0,5,1,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,4,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,1,0,1,2,1
6,30,0,0,1,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,1,1,1,1,0,2,2,1
3,30,0,0,1,1,1,0,1,2,1
6,30,0,4,1,1,1,0,1,2,1
6,40,0,0,4,1,1,0,1,2,1
7,70,0,0,1,1,1,0,2,1,1
3,50,0,0,6,1,1,0,1,2,1
6,30,0,0,1,1,1,0,1,2,1
6,60,0,0,6,2,2,0,2,2,1
3,70,0,0,6,1,1,0,2,1,1
6,40,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,4,2,0,2,2,1
6,60,0,0,6,1,2,0,2,2,1
6,30,0,0,6,1,1,0,1,2,1
6,60,0,0,6,1,1,0,2,2,1
3,70,0,0,6,1,1,0,2,1,1
3,70,0,0,1,1,1,0,2,1,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
3,70,0,0,5,1,1,0,2,1,1
3,60,0,0,1,1,1,0,1,1,1
6,30,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,1,0,1,2,1
6,30,0,0,1,1,1,0,2,2,1
6,30,0,1,1,1,1,0,2,2,1
2,30,0,0,4,1,2,0,1,2,1
3,70,0,0,6,1,2,0,2,1,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,1,4,2,0,1,2,1
6,30,0,4,1,1,1,0,1,2,1
3,70,0,0,6,5,5,0,2,1,1
3,70,0,0,6,1,2,0,1,1,1
6,30,0,0,1,9,1,0,2,2,1
6,30,0,0,1,9,1,0,2,2,1
6,60,0,0,1,2,2,0,2,1,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
7,60,0,0,1,1,1,0,2,2,1
6,40,0,0,1,1,1,0,2,2,1
6,60,0,0,7,1,1,0,2,2,1
7,60,0,0,6,1,1,0,2,1,1
6,60,0,0,1,2,2,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,50,0,0,1,1,2,0,2,1,1
3,70,0,0,7,9,1,0,2,1,1
6,60,0,0,1,1,1,0,2,2,1
3,70,0,0,7,1,1,0,2,1,1
3,70,0,0,1,9,2,0,2,1,1
6,30,0,0,7,2,2,0,2,2,1
6,50,0,0,7,2,2,0,2,2,1
6,30,0,0,7,2,2,0,1,2,1
6,30,0,0,1,1,1,0,1,2,1
6,30,0,0,7,1,1,0,2,2,1
6,40,0,0,7,9,2,0,2,2,1
3,70,0,0,1,1,1,0,2,1,1
3,40,0,0,4,1,2,0,2,2,1
7,70,0,0,1,9,1,0,2,1,1
6,40,0,0,1,1,1,0,2,2,1
6,50,0,0,7,1,1,0,2,2,1
7,30,0,0,1,9,2,0,1,1,1
3,30,0,0,1,1,1,0,1,2,1
6,60,2,0,1,1,1,0,2,2,1
9,60,0,0,7,1,2,0,2,1,1
3,40,0,5,4,1,1,0,1,2,1
6,30,0,0,1,1,1,0,1,2,1
3,70,0,0,6,1,1,0,2,1,1
6,20,0,0,1,1,1,0,1,2,1
6,40,0,0,1,1,1,0,2,2,1
3,40,0,7,4,1,1,0,1,2,1
6,50,0,0,1,1,1,0,2,2,1
3,30,0,5,4,9,1,0,1,2,1
6,50,0,0,6,2,2,0,2,2,1
9,40,0,7,4,9,1,0,1,2,1
6,30,0,0,7,2,2,0,1,2,1
3,30,0,0,4,2,2,0,2,2,1
6,30,2,5,1,1,1,0,1,2,1
3,60,0,0,1,1,1,0,2,2,1
9,20,0,0,1,1,1,0,2,2,1
3,70,0,0,6,1,1,0,2,1,1
6,30,0,0,1,1,1,0,2,2,1
6,50,0,0,1,1,1,0,2,1,1
6,60,0,0,1,1,1,0,2,1,1
6,60,0,0,6,1,2,0,2,2,1
6,30,0,4,4,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,50,0,0,6,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,50,0,0,1,2,2,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,1,0,1,2,1
6,60,0,0,6,1,1,0,2,2,1
6,60,0,0,6,1,1,0,2,1,1
6,50,0,0,6,1,2,0,2,2,1
6,30,0,0,4,1,1,0,1,2,1
1,40,0,0,4,1,1,0,1,2,1
6,30,0,0,1,8,2,0,2,2,1
3,70,0,0,6,8,2,0,2,1,1
6,60,0,0,6,1,4,0,2,2,1
6,30,0,0,4,1,1,0,1,2,1
6,30,0,0,1,1,1,0,1,2,1
6,30,0,4,1,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,1,1
6,40,0,0,1,1,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,50,0,0,1,1,1,0,2,2,1
6,40,0,0,1,1,1,2,2,2,1
3,70,0,0,1,1,1,0,2,1,1
6,60,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,1,1
6,30,0,0,1,1,1,0,1,2,1
6,40,0,0,4,1,2,0,2,2,1
3,40,0,0,1,1,1,0,1,1,1
6,60,0,0,6,5,2,0,2,2,1
3,70,0,0,6,1,1,0,2,1,1
6,60,0,0,1,1,1,0,2,2,1
3,70,0,0,6,2,2,0,2,1,1
6,30,0,0,7,1,1,0,2,2,1
6,60,0,0,1,1,2,7,2,2,1
6,40,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,1,0,1,2,1
6,40,0,0,1,1,1,0,2,2,1
3,50,0,0,4,1,1,0,1,2,1
6,60,0,0,1,1,2,0,2,2,1
6,60,0,0,5,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
6,50,0,0,1,4,1,0,2,2,1
6,60,0,0,1,1,1,0,2,1,1
6,60,0,0,1,1,1,2,2,2,1
6,30,0,0,1,1,1,0,1,2,1
6,30,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,1,0,2,2,1
6,60,0,0,1,1,1,0,2,2,1
3,70,0,0,6,1,2,0,2,2,1
6,30,0,8,1,4,1,0,1,2,1
6,60,0,0,1,1,1,0,2,2,1
6,30,0,0,1,1,2,0,2,2,1
6,30,0,0,4,1,1,0,2,2,1
6,30,0,5,4,1,1,0,1,2,1
6,50,0,0,1,2,2,0,2,2,1
6,30,0,0,1,1,1,0,1,2,1
6,30,0,0,1,1,1,0,2,2,1
3,50,0,0,4,1,1,0,2,2,1
6,60,0,0,6,2,2,0,2,-1,1
6,60,0,0,6,5,2,0,2,-1,1
6,60,0,0,6,1,2,0,2,-1,1
